name,recclass,mass,year,reclat,reclong,ID,MeteorClass,SecondClass,Group,Family,ChemGroup,PetroType,Breccia,PetroClass,MetaGrade,MarsType,Lithol,Melt,Other
Acapulco,Acapulcoite,1914,1976,16.88333,-99.9,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Allan Hills 84190,Acapulcoite,7.9,1984,-76.68361,159.33783,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Allan Hills A77081,Acapulcoite,8.6,1977,-76.71667,159.66667,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Allan Hills A78230,Acapulcoite,3.87,1977,-76.71667,159.66667,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Allan Hills A81187,Acapulcoite,40,1981,-76.69278,159.31833,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Allan Hills A81261,Acapulcoite,11.8,1981,-76.69111,159.38695,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Allan Hills A81315,Acapulcoite,2.5,1981,-76.68861,159.36889,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Asuka 881902,Acapulcoite,907.87,1988,-72,26,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Dhofar 1222,Acapulcoite,93,2003,18.20417,54.05667,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Dhofar 125,Acapulcoite,2697,2000,18.98667,54.6005,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Dhofar 290,Acapulcoite,62,2001,19.315,54.84333,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
Dhofar 312,Acapulcoite,354,2001,18.98833,54.605,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
El Médano 096,Acapulcoite,11.1,2011,-24.85,-70.53333,Acapulcoite,achondrite,primitive,ungrouped,acapulcoite-lodranite,,,0,,,,,,
