"ID","MeteorClass","SecondClass","Group","Family","ChemGroup","PetroType","Breccia","PetroClass","MetaGrade","MarsType","Lithol","Melt","Other"
"Acapulcoite","achondrite","primitive","","acapulcoite-lodranite","","","","","","","","",""
"Acapulcoite/Lodranite","achondrite","primitive","","acapulcoite-lodranite","","","","","","","","",""
"Acapulcoite/lodranite","achondrite","primitive","","acapulcoite-lodranite","","","","","","","","",""
"Achondrite-prim","achondrite","primitive","","","","","","","","","","",""
"Achondrite-ung","achondrite","","","","","","","","","","","",""
"Angrite","achondrite","","angrite","","","","","","","","","",""
"Aubrite","achondrite","","aubrite","","","","","","","","","",""
"Aubrite-an","achondrite","","aubrite","","","","","","","","","",""
"Brachinite","achondrite","primitive","brachinite","","","","","","","","","",""
"C","chondrite","carbonaceous","","","","","","","","","","",""
"C1/2-ung","chondrite","carbonaceous","","","","1&2","","","","","","",""
"C1-ung","chondrite","carbonaceous","","","","1","","","","","","",""
"C2","chondrite","carbonaceous","","","","2","","","","","","",""
"C2-ung","chondrite","carbonaceous","","","","2","","","","","","",""
"C3.0-ung","chondrite","carbonaceous","","","","3","","","","","","",""
"C3/4-ung","chondrite","carbonaceous","","","","3|4","","","","","","",""
"C3-ung","chondrite","carbonaceous","","","","3","","","","","","",""
"C4","chondrite","carbonaceous","","","","4","","","","","","",""
"C4/5","chondrite","carbonaceous","","","","4|5","","","","","","",""
"C4-ung","chondrite","carbonaceous","","","","4","","","","","","",""
"C5/6-ung","chondrite","carbonaceous","","","","5|6","","","","","","",""
"C6","chondrite","carbonaceous","","","","6","","","","","","",""
"CB","chondrite","carbonaceous","CB","","","","","","","","","",""
"CBa","chondrite","carbonaceous","CBa","","","","","","","","","",""
"CBb","chondrite","carbonaceous","CBb","","","","","","","","","",""
"CH/CBb","chondrite","carbonaceous","CH&CBb","","","","","","","","","",""
"CH3","chondrite","carbonaceous","CH","","","3","","","","","","",""
"CH3","chondrite","carbonaceous","CH","","","3","","","","","","",""
"Chondrite-fusion crust","chondrite","","","","","","","","","","","","fusion crust"
"Chondrite-ung","chondrite","","","","","","","","","","","",""
"CI1","chondrite","carbonaceous","CI","","","1","","","","","","",""
"CK","chondrite","carbonaceous","CK","","","","","","","","","",""
"CK3","chondrite","carbonaceous","CK","","","3","","","","","","",""
"CK3.8","chondrite","carbonaceous","CK","","","3","","","","","","",""
"CK3/4","chondrite","carbonaceous","CK","","","type 3|4","","","","","","",""
"CK3-an","chondrite","carbonaceous","CK","","","3","","","","","","",""
"CK4","chondrite","carbonaceous","CK","","","4","","","","","","",""
"CK4/5","chondrite","carbonaceous","CK","","","4|5","","","","","","",""
"CK4-an","chondrite","carbonaceous","CK","","","4","","","","","","",""
"CK5","chondrite","carbonaceous","CK","","","5","","","","","","",""
"CK5/6","chondrite","carbonaceous","CK","","","5|6","","","","","","",""
"CK6","chondrite","carbonaceous","CK","","","6","","","","","","",""
"CM","chondrite","carbonaceous","CM","","","","","","","","","",""
"CM1","chondrite","carbonaceous","CM","","","1","","","","","","",""
"CM1/2","chondrite","carbonaceous","CM","","","1|2","","","","","","",""
"CM2","chondrite","carbonaceous","CM","","","2","","","","","","",""
"CM2-an","chondrite","carbonaceous","CM","","","2","","","","","","",""
"CM-an","chondrite","carbonaceous","CM","","","","","","","","","",""
"CO3","chondrite","carbonaceous","CO","","","3","","","","","","",""
"CO3","chondrite","carbonaceous","CO","","","3","","","","","","",""
"CO3.0","chondrite","carbonaceous","CO","","","3","","","","","","",""
"CO3.1","chondrite","carbonaceous","CO","","","3","","","","","","",""
"CO3.2","chondrite","carbonaceous","CO","","","3","","","","","","",""
"CO3.3","chondrite","carbonaceous","CO","","","3","","","","","","",""
"CO3.4","chondrite","carbonaceous","CO","","","3","","","","","","",""
"CO3.5","chondrite","carbonaceous","CO","","","3","","","","","","",""
"CO3.6","chondrite","carbonaceous","CO","","","3","","","","","","",""
"CO3.7","chondrite","carbonaceous","CO","","","3","","","","","","",""
"CO3.8","chondrite","carbonaceous","CO","","","3","","","","","","",""
"CR","chondrite","carbonaceous","CR","","","","","","","","","",""
"CR1","chondrite","carbonaceous","CR","","","1","","","","","","",""
"CR2","chondrite","carbonaceous","CR","","","2","","","","","","",""
"CR2-an","chondrite","carbonaceous","CR","","","2","","","","","","",""
"CR7","chondrite","carbonaceous","CR","","","7","","","","","","",""
"CR-an","chondrite","carbonaceous","CR","","","","","","","","","",""
"CV2","chondrite","carbonaceous","CV","","","2","","","","","","",""
"CV3","chondrite","carbonaceous","CV","","","3","","","","","","",""
"CV3-an","chondrite","carbonaceous","CV","","","3","","","","","","",""
"Diogenite","achondrite","","diogenite","","","","","","","","","",""
"Diogenite-an","achondrite","","","","","","","","","","","",""
"Diogenite-olivine","achondrite","","diogenite","","","","","","","","","","unusually rich in olivine"
"Diogenite-pm","achondrite","","diogenite","","","","1","","","","","",""
"E","chondrite","enstatite","","","","","","","","","","",""
"E3","chondrite","enstatite","","","","3","","","","","","",""
"E3-an","chondrite","enstatite","","","","3","","","","","","",""
"E4","chondrite","enstatite","","","","4","","","","","","",""
"E5","chondrite","enstatite","","","","5","","","","","","",""
"E5-an","chondrite","enstatite","","","","5","","","","","","",""
"E6","chondrite","enstatite","","","","6","","","","","","",""
"E-an","chondrite","enstatite","","","","","","","","","","",""
"EH","chondrite","enstatite","EH","","","","","","","","","",""
"EH3","chondrite","enstatite","EH","","","3","","","","","","",""
"EH3/4-an","chondrite","enstatite","EH","","","3|4","","","","","","",""
"EH4","chondrite","enstatite","EH","","","4","","","","","","",""
"EH4/5","chondrite","enstatite","EH","","","4|5","","","","","","",""
"EH5","chondrite","enstatite","EH","","","5","","","","","","",""
"EH6","chondrite","enstatite","EH","","","6","","","","","","",""
"EH6-an","chondrite","enstatite","EH","","","6","","","","","","",""
"EH7","chondrite","enstatite","EH","","","7","","","","","","",""
"EH7-an","chondrite","enstatite","EH","","","7","","","","","","",""
